Fahrtnummer,Fahrzeugnummer,Buchungskreis,Abfahrtsdatum,Messung,Zug id,Abfahrtszeit,Ankunftszeit,Entfernung km,Passagieranzahl,Abfahrtsbahnhof,Ankunftsbahnhof
3094127253,1.0,1000,2020-12-29,2321.14,3094127253,2024-06-11 23:31:02,2024-06-12 02:02:02,688.0,470.0,Millerside,Lake Adam
3094127253,2.0,1000,2020-12-29,2361.35,3094127253,2024-06-11 23:31:02,2024-06-12 02:02:02,688.0,470.0,Millerside,Lake Adam
3094127253,3.0,1000,2020-12-29,3078.98,3094127253,2024-06-11 23:31:02,2024-06-12 02:02:02,688.0,470.0,Millerside,Lake Adam
3094127253,4.0,1000,2020-12-29,4063.26,3094127253,2024-06-11 23:31:02,2024-06-12 02:02:02,688.0,470.0,Millerside,Lake Adam
3094127253,5.0,1000,2020-12-29,624.47,3094127253,2024-06-11 23:31:02,2024-06-12 02:02:02,688.0,470.0,Millerside,Lake Adam
3094127253,6.0,1000,2020-12-29,2376.09,3094127253,2024-06-11 23:31:02,2024-06-12 02:02:02,688.0,470.0,Millerside,Lake Adam
3094127253,7.0,1000,2020-12-29,3070.22,3094127253,2024-06-11 23:31:02,2024-06-12 02:02:02,688.0,470.0,Millerside,Lake Adam
3094127253,8.0,1000,2020-12-29,1025.5,3094127253,2024-06-11 23:31:02,2024-06-12 02:02:02,688.0,470.0,Millerside,Lake Adam
8322069260,1.0,1001,2021-03-14,1893.15,8322069260,2024-06-13 07:45:16,2024-06-13 09:38:16,531.0,190.0,Davidview,Millermouth
8322069260,2.0,1001,2021-03-14,4696.43,8322069260,2024-06-13 07:45:16,2024-06-13 09:38:16,531.0,190.0,Davidview,Millermouth
8322069260,3.0,1001,2021-03-14,4914.01,8322069260,2024-06-13 07:45:16,2024-06-13 09:38:16,531.0,190.0,Davidview,Millermouth
8322069260,4.0,1001,2021-03-14,4061.35,8322069260,2024-06-13 07:45:16,2024-06-13 09:38:16,531.0,190.0,Davidview,Millermouth
8322069260,5.0,1001,2021-03-14,2064.82,8322069260,2024-06-13 07:45:16,2024-06-13 09:38:16,531.0,190.0,Davidview,Millermouth
8322069260,6.0,1001,2021-03-14,4285.17,8322069260,2024-06-13 07:45:16,2024-06-13 09:38:16,531.0,190.0,Davidview,Millermouth
8322069260,7.0,1001,2021-03-14,4340.29,8322069260,2024-06-13 07:45:16,2024-06-13 09:38:16,531.0,190.0,Davidview,Millermouth
8322069260,8.0,1001,2021-03-14,1736.03,8322069260,2024-06-13 07:45:16,2024-06-13 09:38:16,531.0,190.0,Davidview,Millermouth
8322069260,9.0,1001,2021-03-14,3608.71,8322069260,2024-06-13 07:45:16,2024-06-13 09:38:16,531.0,190.0,Davidview,Millermouth
8322069260,10.0,1001,2021-03-14,4279.05,8322069260,2024-06-13 07:45:16,2024-06-13 09:38:16,531.0,190.0,Davidview,Millermouth
9523145550,1.0,1001,2020-09-03,3725.52,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,2.0,1001,2020-09-03,1726.03,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,3.0,1001,2020-09-03,663.84,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,4.0,1001,2020-09-03,2579.31,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,5.0,1001,2020-09-03,1593.37,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,6.0,1001,2020-09-03,1199.45,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,7.0,1001,2020-09-03,4383.93,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,8.0,1001,2020-09-03,2361.62,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,9.0,1001,2020-09-03,4229.1,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,10.0,1001,2020-09-03,1103.73,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,11.0,1001,2020-09-03,4631.07,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,12.0,1001,2020-09-03,3005.72,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,13.0,1001,2020-09-03,3548.22,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,14.0,1001,2020-09-03,1789.52,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,15.0,1001,2020-09-03,4825.56,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,16.0,1001,2020-09-03,1500.74,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,17.0,1001,2020-09-03,860.17,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,18.0,1001,2020-09-03,4744.57,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
9523145550,19.0,1001,2020-09-03,1250.99,9523145550,2024-06-08 10:40:11,2024-06-08 14:24:11,624.0,77.0,Lake Mariaport,Josephstad
6944669989,1.0,1001,2020-09-18,4035.36,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,2.0,1001,2020-09-18,4589.65,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,3.0,1001,2020-09-18,2186.99,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,4.0,1001,2020-09-18,1706.64,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,5.0,1001,2020-09-18,4938.53,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,6.0,1001,2020-09-18,1349.42,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,7.0,1001,2020-09-18,1663.38,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,8.0,1001,2020-09-18,657.21,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,9.0,1001,2020-09-18,3045.05,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,10.0,1001,2020-09-18,1152.49,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,11.0,1001,2020-09-18,2430.9,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,12.0,1001,2020-09-18,3077.67,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
6944669989,13.0,1001,2020-09-18,4539.51,6944669989,2024-06-22 06:26:19,2024-06-22 10:22:19,493.0,95.0,North Stephaniemouth,East Eric
